,Comunidad,Periodo,Poblacion
0,alucía,2021,8472407
1,gón,2021,1326261
2,"urias, Principado de",2021,1011792
3,"ears, Illes",2021,1173008
4,arias,2021,2172944
5,tabria,2021,584507
6,tilla y León,2021,2383139
7,tilla - La Mancha,2021,2049562
8,aluña,2021,7763362
9,unitat Valenciana,2021,5058138
10,remadura,2021,1059501
11,icia,2021,2695645
12,"rid, Comunidad de",2021,6751251
13,"cia, Región de",2021,1518486
14,"arra, Comunidad Foral de",2021,661537
15,s Vasco,2021,2213993
16,"ja, La",2021,319796
17,ta,2021,83517
18,illa,2021,86261
